Job titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Clinical Coordinator,45%,690,2244,0.307486631,Construction
Clinical Support Specialist,45%,592,1892,0.312896406,Sales & Marketing
Certified Welding Inspector,45%,105,477,0.220125786,Hospitality
Computer Technician,45%,475,1535,0.309446254,Communication & PR
General Maintenance Technician,45%,299,1114,0.268402154,Data & IT
General Service Technician,45%,303,1118,0.271019678,Administrative & Clerical
Industrial Maintenance Mechanic,45%,296,1171,0.252775406,Leadership & Strategy
Industrial Maintenance Technician,45%,295,1170,0.252136752,Medical & Healthcare
Service Advisor,45%,192,1798,0.106785317,Supply Chain & Logistics
Cnc Machine Operator,45%,265,980,0.270408163,Law Enforcement
Inventory Control Supervisor,45%,509,1635,0.311314985,Construction
Manufacturing Associate,45%,317,1084,0.292435424,Sales & Marketing
Operator,45%,98,1180,0.083050847,Hospitality
Order Selector,45%,116,1331,0.087152517,Communication & PR
Scanner,45%,149,1537,0.096942095,Data & IT
Pcb Design Engineer,45%,120,1161,0.103359173,Administrative & Clerical
Pcb Designer,45%,120,1161,0.103359173,Leadership & Strategy
Service Engineer,45%,157,1594,0.098494354,Medical & Healthcare
Document Control Specialist,45%,542,1667,0.325134973,Supply Chain & Logistics
Facility Coordinator,45%,465,1530,0.303921569,Law Enforcement
Implementation Coordinator,45%,552,1760,0.313636364,Construction
Medical Office Receptionist,45%,422,1434,0.294281729,Sales & Marketing
Medical Receptionist,45%,422,1434,0.294281729,Hospitality
Regulatory Affairs Specialist,45%,197,1814,0.108599779,Communication & PR
Validation Specialist,45%,177,1761,0.100511073,Data & IT
Bus Driver,45%,80,426,0.187793427,Administrative & Clerical
Bus Operator,45%,80,426,0.187793427,Leadership & Strategy
Class A CDL,45%,81,437,0.185354691,Medical & Healthcare
Company Driver,45%,122,552,0.221014493,Supply Chain & Logistics
Flatbed Driver,45%,123,556,0.221223022,Law Enforcement
Local Cdl,45%,124,547,0.226691042,Construction
Local Delivery Driver,45%,130,567,0.229276896,Sales & Marketing
Local Truck Driver,45%,128,566,0.22614841,Hospitality
Otr Driver,45%,27,184,0.14673913,Communication & PR
Owner Operator,45%,46,468,0.098290598,Data & IT
Parts Delivery Driver,45%,27,183,0.147540984,Administrative & Clerical
Pizza Delivery Driver,45%,26,181,0.143646409,Leadership & Strategy
School Bus Driver,45%,25,180,0.138888889,Medical & Healthcare
Tanker Driver,45%,28,185,0.151351351,Supply Chain & Logistics
Truck Driver,45%,29,189,0.153439153,Law Enforcement
Trucker,45%,28,185,0.151351351,Construction
Casino Manager,45%,463,1765,0.262322946,Sales & Marketing
Dietary Manager,45%,390,1405,0.277580071,Hospitality
Food Production Manager,45%,421,1428,0.294817927,Communication & PR
Gate Agent,45%,331,1172,0.282423208,Data & IT
Hostess,45%,276,995,0.277386935,Administrative & Clerical
Hotel Front Desk,45%,381,1361,0.27994122,Leadership & Strategy
Hotel Receptionist,45%,381,1359,0.280353201,Medical & Healthcare
Pediatric Oncology Nurse,45%,372,1324,0.280966767,Supply Chain & Logistics
Chief Investment Officer,45%,528,1845,0.286178862,Law Enforcement
Nurse Practitioner,45%,365,1268,0.28785489,Construction
Audio Technician,45%,463,2059,0.22486644,Sales & Marketing
Devops Engineer,45%,552,2063,0.267571498,Hospitality
Tax Director,45%,542,1943,0.278950077,Communication & PR
Clinical Nurse Manager,45%,536,1924,0.278586279,Data & IT
Disability Case Manager,45%,722,2376,0.303872054,Administrative & Clerical
Insurance Sales Manager,45%,622,2122,0.293119698,Leadership & Strategy
Medical Practice Manager,45%,609,2055,0.296350365,Medical & Healthcare
Medical Records Specialist,45%,646,2161,0.298935678,Supply Chain & Logistics
Content Developer,45%,791,3082,0.256651525,Law Enforcement
Corporate Trainer,45%,627,2127,0.294781382,Construction
Customer Account Manager,45%,756,2300,0.328695652,Sales & Marketing
Division Order Analyst,45%,626,1831,0.341889678,Hospitality
Inventory Analyst,45%,806,2656,0.303463855,Communication & PR
Lot Attendant,45%,230,837,0.27479092,Data & IT
Operation Specialist,45%,871,2745,0.317304189,Administrative & Clerical
Peoplesoft Consultant,45%,688,2148,0.320297952,Leadership & Strategy
Process Analyst,45%,708,2107,0.336022781,Medical & Healthcare
Process Improvement Engineer,45%,669,2022,0.330860534,Supply Chain & Logistics
Procurement Analyst,45%,690,2048,0.336914063,Law Enforcement
Social Media Strategist,45%,997,3490,0.285673352,Construction
Strategic Sourcing Manager,45%,669,2165,0.309006928,Sales & Marketing
Advertising Sales Representative,45%,817,2532,0.322669826,Hospitality
Business Development Representative,45%,957,2881,0.332176328,Communication & PR
Field Sales Representative,45%,695,2258,0.307794508,Data & IT
Field Service Representative,45%,622,1903,0.326852338,Administrative & Clerical
Group Sales Manager,45%,795,2555,0.311154599,Leadership & Strategy
Independent Sales Representative,45%,508,1461,0.34770705,Medical & Healthcare
Medical Sales,45%,554,1580,0.350632911,Supply Chain & Logistics
Outside Sales,45%,727,2260,0.321681416,Law Enforcement
Regional Sales Executive,45%,743,2270,0.327312775,Construction
Retail Sales Representative,45%,674,2203,0.305946437,Sales & Marketing
Route Sales Representative,45%,485,1626,0.298277983,Hospitality
Sales Administrator,45%,632,2117,0.298535664,Communication & PR
Sales Advisor,45%,717,2230,0.321524664,Data & IT
Sales Representative,45%,736,2273,0.323801144,Administrative & Clerical
Assistant Nurse Manager,45%,476,1541,0.308890331,Leadership & Strategy
Certified Nurse Assistant,45%,457,1486,0.307537012,Medical & Healthcare
Graduate Nurse,45%,261,664,0.393072289,Supply Chain & Logistics
Neonatal Nurse,45%,298,892,0.334080717,Law Enforcement
Nurse Assistant,45%,321,931,0.344790548,Construction
Pediatric Nurse,44%,246,964,0.255186722,Sales & Marketing
Field Service Technician,43%,581,1682,0.345422117,Hospitality
Regulatory Affairs Associate,43%,614,1879,0.326769558,Communication & PR
Aeronautical Engineer,43%,415,1405,0.295373665,Data & IT
Agricultural Engineer,43%,449,1471,0.305234534,Administrative & Clerical
Antenna Engineer,43%,419,1393,0.300789663,Leadership & Strategy
Avionics Engineer,42%,431,1418,0.303949224,Medical & Healthcare
Cfd Engineer,42%,384,1169,0.328485885,Supply Chain & Logistics
Electrical Design Engineer,42%,420,1212,0.346534653,Law Enforcement
Electrical Designer,42%,415,1217,0.341002465,Construction
Electronics Engineer,42%,412,1132,0.363957597,Sales & Marketing
Fea Engineer,42%,384,1080,0.355555556,Hospitality
Hvac Design Engineer,41%,424,1631,0.259963213,Communication & PR
Lobby Attendant,40%,233,841,0.27705113,Data & IT
Night Auditor,40%,469,1428,0.328431373,Administrative & Clerical
Reservation Agent,40%,476,1597,0.29805886,Leadership & Strategy
Restaurant Operations Manager,40%,386,1428,0.270308123,Medical & Healthcare
Restaurant Server,40%,226,963,0.234683281,Supply Chain & Logistics
Room Attendant,40%,258,959,0.26903024,Law Enforcement
Room Service Server,40%,203,842,0.241092637,Construction
Travel Agent,40%,575,2145,0.268065268,Sales & Marketing
Travel Counselor,40%,565,2101,0.268919562,Hospitality
Travel Specialist,40%,566,2071,0.273297924,Communication & PR
Decorator,40%,616,2386,0.258172674,Data & IT
Youth Development Specialist,40%,475,1830,0.259562842,Administrative & Clerical
Armed Guard,40%,223,1030,0.216504854,Leadership & Strategy
Armed Security,40%,233,1050,0.221904762,Medical & Healthcare
Bodyguard,40%,229,1115,0.205381166,Supply Chain & Logistics
Crime Analyst,40%,637,1979,0.321879737,Law Enforcement
Intelligence Officer,40%,530,1542,0.343709468,Construction
Loss Prevention,40%,457,1439,0.317581654,Sales & Marketing
Personnel Security Specialist,40%,511,1730,0.295375723,Hospitality
Privacy Officer,40%,500,1687,0.296384114,Communication & PR
Public Affairs Specialist,40%,647,2271,0.284896521,Data & IT
Safety Assistant,40%,395,1446,0.273167358,Administrative & Clerical
Bi Analyst,40%,815,2531,0.322007112,Leadership & Strategy
Citrix Engineer,40%,499,1325,0.376603774,Medical & Healthcare
Desktop Support,40%,658,1981,0.332155477,Supply Chain & Logistics
Desktop Support Specialist,40%,661,1982,0.333501514,Law Enforcement
Help Desk Specialist,40%,843,2600,0.324230769,Construction
It Architect,40%,772,2297,0.336090553,Sales & Marketing
It Support,40%,830,2540,0.326771654,Hospitality
It Support Analyst,40%,824,2533,0.325305961,Communication & PR
Junior Systems Administrator,40%,801,2493,0.321299639,Data & IT
Network Architect,40%,778,2346,0.331628303,Administrative & Clerical
Network Specialist,40%,814,2537,0.320851399,Leadership & Strategy
Network Support Technician,40%,806,2527,0.318955283,Medical & Healthcare
Performance Tester,40%,612,1933,0.316606311,Supply Chain & Logistics
Sap Administrator,40%,671,2130,0.315023474,Law Enforcement
Sap Security Consultant,40%,689,2156,0.319573284,Construction
Senior Network Engineer,40%,609,1807,0.33702269,Sales & Marketing
Service Desk Analyst,40%,772,2319,0.332902113,Hospitality
Sharepoint Consultant,40%,734,2255,0.325498891,Communication & PR
Solutions Architect,40%,774,2301,0.336375489,Data & IT
Systems Architect,40%,520,1914,0.271682341,Administrative & Clerical
Tech Support,40%,636,2458,0.258746949,Leadership & Strategy
Technology Coordinator,40%,656,2506,0.261771748,Medical & Healthcare
Telecommunications Analyst,40%,554,2270,0.244052863,Supply Chain & Logistics
Unloader,40%,278,1128,0.246453901,Law Enforcement
Warehouse Operator,40%,319,1227,0.2599837,Construction
Business Consultant,40%,997,2969,0.335803301,Sales & Marketing
Process Improvement Specialist,40%,795,2413,0.329465396,Hospitality
Professional Services Consultant,40%,805,2344,0.343430034,Communication & PR
Solutions Consultant,40%,836,2528,0.330696203,Data & IT
Strategic Consultant,40%,629,2098,0.299809342,Administrative & Clerical
Call Center,40%,1064,3265,0.325880551,Leadership & Strategy
Circulation Manager,40%,633,1823,0.347229841,Medical & Healthcare
Market Analyst,40%,1044,3370,0.309792285,Supply Chain & Logistics
Market Research Analyst,40%,1046,3372,0.310201661,Law Enforcement
Market Researcher,40%,1037,3356,0.308998808,Construction
Marketing Analyst,40%,1029,3263,0.315353969,Sales & Marketing
Marketing Research Analyst,40%,1009,3220,0.313354037,Hospitality
Media Buyer,40%,857,2906,0.294907089,Communication & PR
Unit Coordinator,40%,564,1968,0.286585366,Data & IT
Architectural Project Manager,40%,795,2482,0.320306205,Administrative & Clerical
Assistant Product Manager,40%,853,2632,0.324088146,Leadership & Strategy
Associate Project Manager,40%,861,2753,0.312749728,Medical & Healthcare
It Project Coordinator,40%,872,2890,0.301730104,Supply Chain & Logistics
Junior Project Manager,40%,844,2792,0.302292264,Law Enforcement
Product Developer,40%,715,2633,0.271553361,Construction
Project Administrator,40%,636,1972,0.322515213,Sales & Marketing
Project Coordinator,40%,683,2074,0.329315333,Hospitality
Project Director,40%,613,1953,0.313876088,Communication & PR
Project Management Assistant,40%,621,1886,0.329268293,Data & IT
Project Officer,40%,590,1833,0.321876705,Administrative & Clerical
Project Scheduler,40%,585,1840,0.317934783,Leadership & Strategy
Project Supervisor,40%,615,1963,0.313295976,Medical & Healthcare
Courtesy Clerk,40%,218,744,0.293010753,Supply Chain & Logistics
Deli Clerk,40%,249,755,0.329801325,Law Enforcement
Floor Supervisor,40%,450,1446,0.31120332,Construction
Merchandise Coordinator,40%,804,2897,0.277528478,Sales & Marketing
Autocad Designer,40%,663,2463,0.269183922,Hospitality
Civil Drafter,40%,373,1098,0.339708561,Communication & PR
Dozer Operator,40%,68,280,0.242857143,Data & IT
Electrical Project Manager,40%,510,1446,0.352697095,Administrative & Clerical
Estimator,40%,648,2029,0.319369147,Leadership & Strategy
Heavy Equipment Mechanic,40%,242,924,0.261904762,Medical & Healthcare
Independent Contractor,40%,522,1454,0.359009629,Supply Chain & Logistics
Installation Coordinator,40%,588,1814,0.324145535,Law Enforcement
Pipeline Controller,40%,306,1154,0.265164645,Construction
Shop Foreman,40%,307,1152,0.266493056,Sales & Marketing
Claim Analyst,40%,590,1927,0.306175402,Hospitality
Claim Examiner,40%,579,1913,0.30266597,Communication & PR
Claims,40%,557,1738,0.320483314,Data & IT
Claims Adjuster,40%,588,1919,0.306409588,Administrative & Clerical
Claims Supervisor,40%,600,1988,0.301810865,Leadership & Strategy
Insurance Clerk,40%,463,1446,0.320193638,Medical & Healthcare
Netsuite Consultant,40%,730,2157,0.338433009,Supply Chain & Logistics
Php Developer,40%,566,2178,0.259871442,Law Enforcement
Php Web Developer,40%,568,2182,0.260311641,Construction
Sap Abap Developer,40%,615,1838,0.334602829,Sales & Marketing
Software Trainer,40%,800,2642,0.302800908,Hospitality
Bi Developer,40%,822,2530,0.324901186,Communication & PR
Business Developer,40%,984,2898,0.339544513,Data & IT
Business Objects Developer,40%,871,2669,0.326339453,Administrative & Clerical
Cost Analyst,40%,680,1864,0.364806867,Leadership & Strategy
Erp Analyst,40%,648,1730,0.374566474,Medical & Healthcare
Field Investigator,40%,628,1840,0.341304348,Supply Chain & Logistics
Fraud Analyst,40%,711,2184,0.325549451,Law Enforcement
Junior Financial Analyst,40%,792,2669,0.296740352,Construction
Loss Prevention Detective,40%,415,1381,0.300506879,Sales & Marketing
Patent Analyst,40%,561,1813,0.309431881,Hospitality
Planning Analyst,40%,598,1872,0.319444444,Communication & PR
Clinical Data Associate,40%,862,2525,0.341386139,Data & IT
Clinical Data Coordinator,40%,859,2499,0.343737495,Administrative & Clerical
Cloud Consultant,40%,772,2262,0.341290893,Leadership & Strategy
Data Center Manager,40%,816,2382,0.34256927,Medical & Healthcare
Data Specialist,40%,795,2343,0.339308579,Supply Chain & Logistics
Database Manager,40%,761,2088,0.364463602,Law Enforcement
Gis Specialist,40%,701,2197,0.319071461,Construction
Marketing Data Analyst,40%,1027,3220,0.318944099,Sales & Marketing
Oracle Consultant,40%,716,2140,0.334579439,Hospitality
Server Engineer,40%,566,1757,0.322140011,Communication & PR
Ui Designer,40%,691,2693,0.256591162,Data & IT
User Interface Designer,40%,686,2633,0.260539309,Administrative & Clerical
Web Designer,40%,667,2649,0.251793129,Leadership & Strategy
Compensation Specialist,40%,723,2180,0.331651376,Medical & Healthcare
Hr Analyst,40%,776,2352,0.329931973,Supply Chain & Logistics
Payroll Administrator,40%,587,1971,0.297818366,Law Enforcement
Placement Coordinator,40%,566,1772,0.319413093,Construction
Public Relations,40%,734,2691,0.272761055,Sales & Marketing
Recruiting Assistant,40%,611,2013,0.303527074,Hospitality
Recruiting Coordinator,40%,613,2010,0.304975124,Communication & PR
Recruitment Manager,40%,643,2048,0.313964844,Data & IT
Sales Recruiter,40%,606,1842,0.328990228,Administrative & Clerical
Staffing Consultant,40%,678,2192,0.309306569,Leadership & Strategy
Staffing Coordinator,40%,684,2278,0.300263389,Medical & Healthcare
Staffing Manager,40%,682,2269,0.30057294,Supply Chain & Logistics
Staffing Specialist,40%,685,2281,0.300306883,Law Enforcement
Technology Trainer,40%,643,2446,0.262878168,Construction
Workforce Management Analyst,40%,652,2166,0.301015697,Sales & Marketing
Assistant District Attorney,40%,592,1989,0.297637004,Hospitality
Associate Attorney,40%,654,2100,0.311428571,Communication & PR
Contract Attorney,40%,466,1378,0.338171263,Data & IT
Defense Attorney,40%,462,1253,0.368715084,Administrative & Clerical
Immigration Attorney,40%,479,1673,0.286312014,Leadership & Strategy
Immigration Paralegal,40%,531,1890,0.280952381,Medical & Healthcare
Legal Administrative Assistant,40%,531,1910,0.278010471,Supply Chain & Logistics
Legal Assistant,40%,527,1905,0.27664042,Law Enforcement
Legal Secretary,40%,532,1909,0.278679937,Construction
Litigation Associate,40%,502,1701,0.295120517,Sales & Marketing
Litigation Attorney,40%,503,1699,0.296056504,Hospitality
Litigation Legal Assistant,40%,553,1927,0.286974572,Communication & PR
Litigation Paralegal,40%,554,1932,0.286749482,Data & IT
Real Estate Paralegal,40%,431,1547,0.278603749,Administrative & Clerical
Senior Paralegal,40%,432,1578,0.273764259,Leadership & Strategy
Community Outreach Coordinator,40%,934,2874,0.324982603,Medical & Healthcare
Community Outreach Specialist,40%,926,2851,0.324798316,Supply Chain & Logistics
Fundraising Manager,40%,867,2659,0.326062429,Law Enforcement
Outreach Coordinator,40%,901,3233,0.278688525,Construction
Volunteer,40%,245,926,0.264578834,Sales & Marketing
Event Producer,40%,936,3182,0.29415462,Hospitality
Sports Information Director,40%,474,1798,0.263626251,Communication & PR
Mechanical Designer,40%,485,1864,0.260193133,Data & IT
Mechatronics Engineer,40%,434,1677,0.258795468,Administrative & Clerical
Noc Engineer,40%,681,2080,0.327403846,Leadership & Strategy
Office Engineer,40%,461,1743,0.264486517,Medical & Healthcare
Operating Engineer,40%,380,1509,0.251822399,Supply Chain & Logistics
Process Control Engineer,40%,482,1584,0.304292929,Law Enforcement
Procurement Engineer,40%,527,1671,0.315380012,Construction
Project Engineer,40%,505,1613,0.313081215,Sales & Marketing
Resident Engineer,40%,463,1502,0.308255659,Hospitality
Rf Design Engineer,40%,415,1405,0.295373665,Communication & PR
Rf Engineer,40%,419,1418,0.295486601,Data & IT
Site Engineer,40%,461,1551,0.297227595,Administrative & Clerical
Storage Engineer,40%,403,1672,0.241028708,Leadership & Strategy
Supplier Quality Engineer,40%,417,1691,0.246599645,Medical & Healthcare
Support Engineer,40%,442,1778,0.248593926,Supply Chain & Logistics
Telecom Engineer,40%,390,1626,0.239852399,Law Enforcement
Voip Engineer,40%,349,1406,0.248221906,Construction
Welding,40%,92,444,0.207207207,Sales & Marketing
Business Coordinator,40%,939,2880,0.326041667,Hospitality
Documentation Specialist,40%,786,2418,0.325062035,Communication & PR
Facilities Administrator,40%,673,2177,0.30914102,Data & IT
Front Office Coordinator,40%,873,2608,0.334739264,Administrative & Clerical
Incident Manager,40%,707,2183,0.323866239,Leadership & Strategy
Maintenance Director,40%,399,1357,0.294030951,Medical & Healthcare
Production Clerk,40%,336,1291,0.260263362,Supply Chain & Logistics
Records Manager,40%,482,1623,0.2969809,Law Enforcement
Scheduling Coordinator,40%,509,1599,0.318323952,Construction
Technical Assistant,40%,625,2560,0.244140625,Sales & Marketing
Virtual Assistant,40%,589,1932,0.304865424,Hospitality
Box Truck Driver,40%,331,1162,0.284853701,Communication & PR
Concrete Truck Driver,40%,59,193,0.305699482,Data & IT
Courier Driver,40%,61,182,0.335164835,Administrative & Clerical
Driver,40%,59,204,0.289215686,Leadership & Strategy
Dump Truck Driver,40%,54,164,0.329268293,Medical & Healthcare
Freight Agent,40%,615,2030,0.302955665,Supply Chain & Logistics
Fuel Truck Driver,40%,58,180,0.322222222,Law Enforcement
Garbage Truck Driver,40%,58,172,0.337209302,Construction
Heavy Truck Driver,40%,154,565,0.272566372,Sales & Marketing
Non Cdl Driver,40%,168,583,0.288164666,Hospitality
Professional Driver,40%,93,411,0.226277372,Communication & PR
Route Driver,40%,100,426,0.234741784,Data & IT
Shuttle Bus Driver,40%,93,412,0.225728155,Administrative & Clerical
Shuttle Driver,40%,95,416,0.228365385,Leadership & Strategy
Tow Truck Driver,40%,69,360,0.191666667,Medical & Healthcare
Caterer,40%,630,1975,0.318987342,Supply Chain & Logistics
Catering Manager,40%,684,2073,0.329956585,Law Enforcement
Food Service Director,40%,495,1647,0.300546448,Construction
Front Desk Associate,40%,826,2445,0.337832311,Sales & Marketing
Guest Services,40%,558,1668,0.334532374,Hospitality
Hotel Night Auditor,40%,452,1301,0.347425058,Communication & PR
Lab Aide,40%,287,1031,0.278370514,Data & IT
Risk Management Specialist,40%,604,1858,0.325080732,Administrative & Clerical
Lease Administrator,40%,635,2107,0.301376364,Leadership & Strategy
Loss Mitigation Specialist,40%,584,2004,0.291417166,Medical & Healthcare
Agronomist,40%,460,1594,0.288582183,Supply Chain & Logistics
Associate Scientist,40%,524,1772,0.295711061,Law Enforcement
Biological Scientist,40%,475,1721,0.276002324,Construction
Biological Technician,40%,466,1628,0.286240786,Sales & Marketing
Biostatistician,40%,567,1874,0.302561366,Hospitality
Chemical Operator,40%,357,1167,0.305912596,Communication & PR
Computational Biologist,40%,466,1399,0.333095068,Data & IT
Environmental Chemist,40%,511,1558,0.327984596,Administrative & Clerical
Environmental Scientist,40%,521,1566,0.332694764,Leadership & Strategy
Lab Technologist,40%,375,1584,0.236742424,Medical & Healthcare
Laboratory Analyst,40%,398,1602,0.248439451,Supply Chain & Logistics
Radiology Technician,40%,219,861,0.254355401,Law Enforcement
Research Associate,40%,614,1947,0.315356959,Construction
Accounting Auditor,40%,680,2109,0.322427691,Sales & Marketing
Accounts Payable Specialist,40%,713,2244,0.317736185,Hospitality
Accounts Receivable Specialist,40%,713,2253,0.316466933,Communication & PR
Audit Associate,40%,647,2057,0.314535732,Data & IT
Billing Analyst,40%,716,2273,0.3150022,Administrative & Clerical
Budget Manager,40%,676,2240,0.301785714,Leadership & Strategy
Budget Officer,40%,669,2235,0.299328859,Medical & Healthcare
CPA,40%,540,1635,0.330275229,Supply Chain & Logistics
Certified Public Accountant,40%,542,1637,0.331093464,Law Enforcement
Chartered Accountant,40%,547,1642,0.333130329,Construction
Collection Manager,40%,583,1844,0.316160521,Sales & Marketing
Collection Supervisor,40%,578,1919,0.301198541,Hospitality
Credit Counselor,40%,642,2075,0.30939759,Communication & PR
Financial Counselor,40%,676,2113,0.319924278,Data & IT
Financial Reporting Manager,40%,741,2194,0.337739289,Administrative & Clerical
Investment Analyst,40%,764,2456,0.311074919,Leadership & Strategy
Loan Analyst,40%,750,2337,0.320924262,Medical & Healthcare
Portfolio Analyst,40%,547,1795,0.304735376,Supply Chain & Logistics
Treasury Analyst,40%,595,2047,0.290669272,Law Enforcement
Underwriter,40%,706,2654,0.266013564,Construction
Case Manager,40%,784,2544,0.308176101,Sales & Marketing
Clinical Supervisor,40%,388,1202,0.322795341,Hospitality
Health Information Manager,40%,735,2315,0.3174946,Communication & PR
Healthcare Recruiter,40%,700,2253,0.310696849,Data & IT
Intake Specialist,40%,628,1833,0.342607747,Administrative & Clerical
Medical Case Manager,40%,572,1693,0.337861784,Leadership & Strategy
Medical Information Specialist,40%,765,2450,0.312244898,Medical & Healthcare
Medical Manager,40%,597,1739,0.343300748,Supply Chain & Logistics
Medical Scheduler,40%,518,1687,0.307053942,Law Enforcement
Patient Financial Counselor,40%,419,1484,0.282345013,Construction
Patient Registrar,40%,369,1359,0.271523179,Sales & Marketing
Patient Service Representative,40%,386,1468,0.262942779,Hospitality
Patient Service Specialist,40%,394,1479,0.266396214,Communication & PR
Patient Services Representative,40%,392,1473,0.266123557,Data & IT
Screener,40%,273,949,0.287671233,Administrative & Clerical
Criminal Investigator,40%,517,1512,0.341931217,Leadership & Strategy
Food Inspector,40%,345,1217,0.283483977,Medical & Healthcare
Game Warden,40%,320,1001,0.31968032,Supply Chain & Logistics
Regulatory Specialist,40%,604,1904,0.317226891,Law Enforcement
Cargo Agent,40%,597,2088,0.28591954,Construction
Inventory Planner,40%,791,2569,0.307901907,Sales & Marketing
Logistics Administrator,40%,749,2422,0.309248555,Hospitality
Logistics Analyst,40%,814,2675,0.304299065,Communication & PR
Logistics Planner,40%,756,2500,0.3024,Data & IT
Purchasing Specialist,40%,530,1717,0.308677927,Administrative & Clerical
Senior Buyer,40%,449,1512,0.296957672,Leadership & Strategy
Supply Chain Planner,40%,670,2481,0.270052398,Medical & Healthcare
Certified Personal Trainer,40%,551,1737,0.317213587,Supply Chain & Logistics
Anchor,40%,697,2170,0.321198157,Law Enforcement
Broadcast Journalist,40%,756,2331,0.324324324,Construction
Communications,40%,841,2410,0.348962656,Sales & Marketing
Communications Officer,40%,842,2542,0.331235248,Hospitality
Content Specialist,40%,986,3369,0.292668448,Communication & PR
Creative Producer,40%,898,3016,0.297745358,Data & IT
Proofreader,40%,430,1728,0.248842593,Administrative & Clerical
Sound Technician,40%,424,1317,0.321943812,Leadership & Strategy
Technical Designer,40%,583,2311,0.252271744,Medical & Healthcare
Qa Analyst,40%,643,1948,0.330082136,Supply Chain & Logistics
Clinical Nurse Educator,40%,386,1041,0.37079731,Law Enforcement
Computer Teacher,40%,562,1344,0.418154762,Construction
Early Childhood Education,40%,440,1092,0.402930403,Sales & Marketing
Education Consultant,40%,618,1955,0.316112532,Hospitality
Head Start Teacher,40%,399,1196,0.33361204,Communication & PR
Library Technician,40%,521,1849,0.281773932,Data & IT
Online Instructor,40%,846,2784,0.30387931,Administrative & Clerical
School Administrator,40%,491,1714,0.286464411,Leadership & Strategy
Substitute Teacher,40%,470,1701,0.276308054,Medical & Healthcare
Test Proctor,40%,463,1638,0.282661783,Supply Chain & Logistics
Training Coordinator,40%,676,2242,0.301516503,Law Enforcement
Training Supervisor,40%,655,2201,0.297592004,Construction
Agent,40%,648,2044,0.31702544,Sales & Marketing
Aircraft Painter,40%,403,1500,0.268666667,Hospitality
Art Director,40%,686,2666,0.257314329,Communication & PR
Assistant Art Director,40%,658,2252,0.292184725,Data & IT
Character Artist,40%,737,2724,0.270558003,Administrative & Clerical
Concept Artist,40%,786,2804,0.280313837,Leadership & Strategy
Creative Consultant,40%,827,2896,0.285566298,Medical & Healthcare
Designer,40%,745,2746,0.271303714,Supply Chain & Logistics
Drone Pilot,40%,357,1046,0.341300191,Law Enforcement
Illustrator,40%,468,2014,0.232373386,Construction
Industrial Painter,40%,182,966,0.188405797,Sales & Marketing
Technical Writer,40%,715,2803,0.255083839,Hospitality
Ticketing Agent,40%,495,1754,0.282212087,Communication & PR
Video Game Tester,40%,532,1838,0.289445049,Data & IT
Anesthesiologist Assistant,40%,382,1277,0.299138606,Administrative & Clerical
Cardiac Sonographer,40%,403,1376,0.292877907,Leadership & Strategy
Cardiovascular Technologist,40%,417,1411,0.295535082,Medical & Healthcare
Certified Occupational Therapy Assistant,40%,438,1476,0.296747967,Supply Chain & Logistics
Certified Pharmacy Technician,40%,232,722,0.32132964,Law Enforcement
Clinical Exercise Physiologist,40%,283,904,0.313053097,Construction
Dosimetrist,40%,199,646,0.308049536,Sales & Marketing
Er Rn,40%,214,523,0.40917782,Hospitality
Health Inspector,40%,300,903,0.332225914,Communication & PR
Hearing Aid Specialist,40%,301,1053,0.285849953,Data & IT
Hearing Instrument Specialist,40%,297,1049,0.283126787,Administrative & Clerical
Medical Illustrator,40%,487,2085,0.233573141,Leadership & Strategy
Medical Physicist,40%,305,1065,0.286384977,Medical & Healthcare
Pharmacist Technician,40%,238,1071,0.222222222,Supply Chain & Logistics
Pharmacy Technician,40%,248,1012,0.245059289,Law Enforcement
Phlebotomy,40%,171,710,0.24084507,Construction
Phlebotomy Technician,40%,177,714,0.24789916,Sales & Marketing
Radiology Manager,40%,331,1271,0.260424862,Hospitality
Specimen Processor,40%,325,1144,0.284090909,Communication & PR
Sterile Processing Technician,40%,274,1052,0.260456274,Data & IT
Surgical Technician,40%,265,887,0.298759865,Administrative & Clerical
Surgical Technologist,40%,266,910,0.292307692,Leadership & Strategy
Aircraft Fueler,40%,394,1326,0.297134238,Medical & Healthcare
Aircraft Technician,40%,434,1406,0.308677098,Supply Chain & Logistics
Atm Technician,40%,442,1466,0.301500682,Law Enforcement
Automation Specialist,40%,598,1883,0.317578332,Construction
Aviation Technician,40%,434,1419,0.30584919,Sales & Marketing
Calibration Technician,40%,478,1599,0.298936836,Hospitality
Electronics Technician,40%,339,966,0.350931677,Communication & PR
Equipment Technician,40%,251,781,0.321382843,Data & IT
Forklift Mechanic,40%,121,503,0.24055666,Administrative & Clerical
Generalist,40%,527,1657,0.318044659,Leadership & Strategy
Hvac Service Technician,40%,270,1079,0.250231696,Medical & Healthcare
Hvac Technician,40%,272,1080,0.251851852,Supply Chain & Logistics
Janitorial Manager,40%,355,1277,0.277995301,Law Enforcement
Maintenance Manager,40%,407,1380,0.294927536,Construction
Maintenance Superintendent,40%,397,1376,0.288517442,Sales & Marketing
Newspaper Delivery,40%,409,1411,0.289865344,Hospitality
Parking Enforcement Officer,40%,148,558,0.265232975,Communication & PR
Sewing,40%,143,512,0.279296875,Data & IT
